Day,harry potter: (Worldwide)
2021-07-01,45
2021-07-02,45
2021-07-03,45
2021-07-04,47
2021-07-05,45
2021-07-06,46
2021-07-07,42
2021-07-08,46
2021-07-09,43
2021-07-10,44
2021-07-11,43
2021-07-12,45
2021-07-13,45
2021-07-14,45
2021-07-15,46
2021-07-16,44
2021-07-17,46
2021-07-18,47
2021-07-19,48
2021-07-20,45
2021-07-21,46
2021-07-22,45
2021-07-23,47
2021-07-24,45
2021-07-25,48
2021-07-26,48
2021-07-27,46
2021-07-28,45
2021-07-29,44
2021-07-30,44
2021-07-31,46
2021-08-01,47
2021-08-02,44
2021-08-03,45
2021-08-04,45
2021-08-05,43
2021-08-06,43
2021-08-07,42
2021-08-08,46
2021-08-09,46
2021-08-10,44
2021-08-11,44
2021-08-12,44
2021-08-13,43
2021-08-14,42
2021-08-15,40
2021-08-16,44
2021-08-17,42
2021-08-18,42
2021-08-19,41
2021-08-20,46
2021-08-21,43
2021-08-22,46
2021-08-23,46
2021-08-24,44
2021-08-25,43
2021-08-26,46
2021-08-27,43
2021-08-28,47
2021-08-29,46
2021-08-30,45
2021-08-31,45
2021-09-01,44
2021-09-02,44
2021-09-03,43
2021-09-04,44
2021-09-05,46
2021-09-06,45
2021-09-07,43
2021-09-08,42
2021-09-09,42
2021-09-10,41
2021-09-11,47
2021-09-12,44
2021-09-13,41
2021-09-14,40
2021-09-15,40
2021-09-16,41
2021-09-17,41
2021-09-18,46
2021-09-19,45
2021-09-20,42
2021-09-21,43
2021-09-22,45
2021-09-23,42
2021-09-24,44
2021-09-25,45
2021-09-26,45
2021-09-27,40
2021-09-28,41
2021-09-29,40
2021-09-30,38
2021-10-01,40
2021-10-02,43
2021-10-03,42
2021-10-04,37
2021-10-05,40
2021-10-06,40
2021-10-07,40
2021-10-08,41
2021-10-09,43
2021-10-10,46
2021-10-11,44
2021-10-12,41
2021-10-13,43
2021-10-14,43
2021-10-15,44
2021-10-16,45
2021-10-17,46
2021-10-18,44
2021-10-19,42
2021-10-20,43
2021-10-21,44
2021-10-22,45
2021-10-23,46
2021-10-24,48
2021-10-25,46
2021-10-26,46
2021-10-27,45
2021-10-28,46
2021-10-29,49
2021-10-30,56
2021-10-31,51
2021-11-01,48
2021-11-02,45
2021-11-03,44
2021-11-04,44
2021-11-05,44
2021-11-06,49
2021-11-07,52
2021-11-08,46
2021-11-09,45
2021-11-10,46
2021-11-11,45
2021-11-12,45
2021-11-13,55
2021-11-14,57
2021-11-15,52
2021-11-16,58
2021-11-17,63
2021-11-18,56
2021-11-19,56
2021-11-20,58
2021-11-21,64
2021-11-22,56
2021-11-23,53
2021-11-24,49
2021-11-25,50
2021-11-26,51
2021-11-27,56
2021-11-28,63
2021-11-29,54
2021-11-30,50
2021-12-01,49
2021-12-02,49
2021-12-03,51
2021-12-04,54
2021-12-05,59
2021-12-06,67
2021-12-07,77
2021-12-08,66
2021-12-09,66
2021-12-10,63
2021-12-11,68
2021-12-12,69
2021-12-13,65
2021-12-14,65
2021-12-15,66
2021-12-16,68
2021-12-17,67
2021-12-18,66
2021-12-19,63
2021-12-20,81
2021-12-21,100
2021-12-22,79
2021-12-23,69
2021-12-24,64
2021-12-25,64
2021-12-26,68
2021-12-27,68
2021-12-28,68
2021-12-29,69
2021-12-30,67
2021-12-31,64
